COMPANY,2011,2012,2013,2014,2015,2016,2017,2018
HOWARD ENERGY PARTNERS,,,,,61888.0,240241.0,259322.0,322035.0
HUNT CONSOLIDATED,65866.0,230602.0,189919.0,184346.0,179720.0,169436.0,381006.0,380988.0
HUNTINGTON ENERGY,,,,21102.0,23141.0,,,
IACX ENERGY,,,,,,,,48452.0
INDIGO MINERALS,40434.0,99211.0,91735.0,219457.0,318767.0,358849.0,412025.0,220486.0
INERGY WEST COAST,29337.0,36637.0,34891.0,34902.0,,,,
INTEGRYS ENERGY GROUP,102058.0,100148.0,87921.0,83964.0,,,,
IPR-GDF SUEZ NORTH AMERICA,113622.0,,,,,,,
IROQUOIS GAS TRANSMISSION SYSTEM,65149.0,65980.0,73943.0,66260.0,71483.0,67039.0,52648.0,49719.0
J CLEO THOMPSON & JAMES CLEO THOMPSON JR,38339.0,17342.0,30652.0,33595.0,21085.0,23376.0,23847.0,18461.0
J-W OPERATING,37106.0,62405.0,53241.0,149349.0,,,,
JAGGED PEAK ENERGY,,,,,,60012.0,287762.0,560324.0
JAMES LAKE MIDSTREAM,,,,,53940.0,206355.0,248979.0,193866.0
JAY-BEE OIL & GAS,,,,,,,142676.0,179535.0
JAYNE WRIGHTSMAN,4480.0,5175.0,4899.0,4355.0,2853.0,1797.0,1354.0,816.0
JKLM ENERGY,,,,,,,,38572.0
JMA ENERGY COMPANY,52078.0,49241.0,51773.0,31619.0,37827.0,38789.0,49181.0,50881.0
JOHNSON AND LINDLEY,9876.0,10975.0,9775.0,10618.0,10216.0,9414.0,8332.0,9228.0
JONAH ENERGY HOLDINGS,,,,205161.0,242648.0,271782.0,395558.0,405305.0
JONES ENERGY HOLDINGS,46728.0,112798.0,26710.0,169599.0,196173.0,267331.0,299607.0,317037.0
JORDAN DEVELOPMENT CORP,130024.0,141448.0,98044.0,126573.0,106894.0,92489.0,80706.0,79223.0
KAISER-FRANCIS OIL,842079.0,221801.0,161255.0,159515.0,162132.0,135035.0,131182.0,82829.0
KASH OIL & GAS - BASIN 220,38597.0,38448.0,33540.0,41501.0,15376.0,12813.0,9168.0,5281.0
KERR MCGEE GATHERING,71627.0,,,,,,,
KEY PRODUCTION,40147.0,42712.0,39445.0,,,,,
KINDER MORGAN,6642763.0,5718302.0,6262773.0,6937417.0,8233217.0,10184033.0,10151125.0,10084071.0
KINETICA PARTNERS,,,29827.0,9945.0,20017.0,48628.0,212264.0,56885.0
KINGFISHER MIDSTREAM,,,,,,28959.0,52994.0,
KKR,,,,,,,,16945.0
KOCH INDUSTRIES,7365.0,6048.0,45868.0,41104.0,41139.0,33033.0,2009.0,2008.0
KODIAK OIL& GAS,182475.0,591106.0,957008.0,0.0,,,,
KRAKEN OIL & GAS,,,,,,,,533921.0
KREWE ENERGY,,,,,,,,81738.0
LAMBDA ENERGY RESOURCES,,,,,,,,290468.0
LANDRETH COMPANY STOCKHOLDERS,350.0,244.0,175.0,232.0,145.0,82.0,,
LARAMIE ENERGY,,,,27264.0,40515.0,270182.0,409461.0,442302.0
LAREDO PETROLEUM,151683.0,222304.0,122680.0,261140.0,229197.0,296998.0,333083.0,392295.0
LE NORMAN OPERATING,162378.0,138875.0,,,,,,
LEED PETROLEUM,10352.0,9427.0,8638.0,8881.0,8304.0,6201.0,5014.0,5933.0
LEGACY RESERVES OPERATING,2941.0,3076.0,2800.0,154412.0,313048.0,269019.0,275706.0,254224.0
LEGEND NATURAL GAS,246452.0,298726.0,303708.0,263593.0,852633.0,679774.0,,
LEWIS ENERGY GROUP,265486.0,658189.0,1034519.0,1244931.0,364339.0,314130.0,580263.0,636730.0
LIBERTY RESOURCES,,,,,116898.0,179652.0,142108.0,140442.0
LIME ROCK RESOURCES,,,,,103434.0,74626.0,126548.0,500491.0
LINN ENERGY,635729.0,1033607.0,1078008.0,2947189.0,3590528.0,3395550.0,1458514.0,1070476.0
LIQUEFIED NATURAL GAS,,,,,,0.0,0.0,0.0
LLOG EXPLORATION OFFSHORE,,68416.0,59782.0,100423.0,129798.0,159334.0,146797.0,131222.0
LOE,124805.0,108197.0,178609.0,113935.0,,,,
LOEWS,2606437.0,2804937.0,2615463.0,2127214.0,2172633.0,2157095.0,2709173.0,3140643.0
LOGOS RESOURCES II,,,,,,146905.0,354252.0,384987.0
LONESTAR RESOURCES,,,,,,,54188.0,101414.0
LONGFELLOW ENERGY,,,,,,,138974.0,
LOUIS DREYFUS CORP,27160.0,28192.0,29049.0,22593.0,20938.0,17857.0,15399.0,24848.0
LP 224,24686.0,22576.0,25588.0,24390.0,23274.0,19624.0,17398.0,16860.0
LUCID ENERGY DELAWARE,,,,,,257656.0,459384.0,552294.0
