REPORTING YEAR|PARENT_COMPANY|GAS|SECTOR|GHG_CONTRIBUTION|2018_UPSTREAM_RANK|2018_MIDSTREAM_RANK|2018_OVERALL_RANK|STANDARD_COMPANY_NAME
2018|MARATHON OIL CO|N2O|Midstream|352.0|4.0|45.0|15.0|MARATHON OIL
2018|MARATHON OIL CO|N2O|Upstream|1791.0|4.0|45.0|15.0|MARATHON OIL
2015|MARATHON OIL CO|CO2|Upstream|37679.0|4.0|45.0|15.0|MARATHON OIL
2017|MARATHON OIL CO|N2O|Midstream|331.0|4.0|45.0|15.0|MARATHON OIL
2015|MARATHON OIL CO|CO2|Upstream|1748584.0|4.0|45.0|15.0|MARATHON OIL
2016|MARATHON OIL CO|CO2|Upstream|711649.0|4.0|45.0|15.0|MARATHON OIL
2017|MARATHON OIL CO|CH4|Midstream|4763.02|4.0|45.0|15.0|MARATHON OIL
2015|MARATHON OIL CO|N2O|Upstream|23.5|4.0|45.0|15.0|MARATHON OIL
2016|MARATHON OIL CO|CH4|Midstream|2793.74|4.0|45.0|15.0|MARATHON OIL
2016|MARATHON OIL CO|CO2|Midstream|63988.92|4.0|45.0|15.0|MARATHON OIL
2016|MARATHON OIL CO|N2O|Midstream|35.94|4.0|45.0|15.0|MARATHON OIL
2015|MARATHON OIL CO|CH4|Upstream|455950.0|4.0|45.0|15.0|MARATHON OIL
2017|MARATHON OIL CO|CO2|Midstream|53507.5|4.0|45.0|15.0|MARATHON OIL
2017|MARATHON OIL CO|N2O|Midstream|29.66|4.0|45.0|15.0|MARATHON OIL
2018|MARATHON OIL CO|CH4|Midstream|1536.8|4.0|45.0|15.0|MARATHON OIL
2018|MARATHON OIL CO|CO2|Midstream|48201.46|4.0|45.0|15.0|MARATHON OIL
2018|MARATHON OIL CO|N2O|Midstream|26.86|4.0|45.0|15.0|MARATHON OIL
2015|MARATHON OIL CO|CH4|Midstream|2174.26|4.0|45.0|15.0|MARATHON OIL
2017|CONOCOPHILLIPS|CO2|Midstream|843987.0|5.0|16.0|10.0|CONOCOPHILLIPS
2015|CONOCOPHILLIPS|CH4|Midstream|20098.0|5.0|16.0|10.0|CONOCOPHILLIPS
2015|CONOCOPHILLIPS|CH4|Upstream|3351883.75|5.0|16.0|10.0|CONOCOPHILLIPS
2015|CONOCOPHILLIPS|CO2|Midstream|166649.0|5.0|16.0|10.0|CONOCOPHILLIPS
2015|CONOCOPHILLIPS|CO2|Upstream|3046456.5|5.0|16.0|10.0|CONOCOPHILLIPS
2015|CONOCOPHILLIPS|N2O|Midstream|94.0|5.0|16.0|10.0|CONOCOPHILLIPS
2018|CONOCOPHILLIPS|N2O|Upstream|1816.0|5.0|16.0|10.0|CONOCOPHILLIPS
2016|CONOCOPHILLIPS|CH4|Midstream|207431.0|5.0|16.0|10.0|CONOCOPHILLIPS
2016|CONOCOPHILLIPS|CH4|Upstream|3519994.0|5.0|16.0|10.0|CONOCOPHILLIPS
2016|CONOCOPHILLIPS|CO2|Midstream|1081017.0|5.0|16.0|10.0|CONOCOPHILLIPS
2017|CONOCOPHILLIPS|CH4|Upstream|1437171.25|5.0|16.0|10.0|CONOCOPHILLIPS
2016|CONOCOPHILLIPS|CO2|Upstream|2097991.25|5.0|16.0|10.0|CONOCOPHILLIPS
2016|CONOCOPHILLIPS|N2O|Upstream|1455.0|5.0|16.0|10.0|CONOCOPHILLIPS
2018|CONOCOPHILLIPS|N2O|Midstream|476.0|5.0|16.0|10.0|CONOCOPHILLIPS
2018|CONOCOPHILLIPS|CO2|Upstream|2013780.0|5.0|16.0|10.0|CONOCOPHILLIPS
2018|CONOCOPHILLIPS|CO2|Midstream|980514.0|5.0|16.0|10.0|CONOCOPHILLIPS
2018|CONOCOPHILLIPS|CH4|Upstream|1100891.5|5.0|16.0|10.0|CONOCOPHILLIPS
2018|CONOCOPHILLIPS|CH4|Midstream|199931.0|5.0|16.0|10.0|CONOCOPHILLIPS
2017|CONOCOPHILLIPS|N2O|Upstream|1513.75|5.0|16.0|10.0|CONOCOPHILLIPS
2017|CONOCOPHILLIPS|N2O|Midstream|402.0|5.0|16.0|10.0|CONOCOPHILLIPS
2017|CONOCOPHILLIPS|CO2|Upstream|1638472.25|5.0|16.0|10.0|CONOCOPHILLIPS
2016|CONOCOPHILLIPS|N2O|Midstream|524.0|5.0|16.0|10.0|CONOCOPHILLIPS
2017|CONOCOPHILLIPS|CH4|Midstream|197337.0|5.0|16.0|10.0|CONOCOPHILLIPS
2015|CONOCOPHILLIPS|N2O|Upstream|2091.0|5.0|16.0|10.0|CONOCOPHILLIPS
2018|CONOCOPHILLIPS|N2O|Midstream|1020.0540000000001|5.0|16.0|10.0|CONOCOPHILLIPS
2018|CONOCOPHILLIPS|N2O|Upstream|2.6288|5.0|16.0|10.0|CONOCOPHILLIPS
2015|CONOCOPHILLIPS|CH4|Midstream|37182.283|5.0|16.0|10.0|CONOCOPHILLIPS
2015|CONOCOPHILLIPS|CH4|Upstream|8177.0986|5.0|16.0|10.0|CONOCOPHILLIPS
2015|CONOCOPHILLIPS|CO2|Midstream|2072456.175|5.0|16.0|10.0|CONOCOPHILLIPS
2015|CONOCOPHILLIPS|CO2|Upstream|18373.3278|5.0|16.0|10.0|CONOCOPHILLIPS
2015|CONOCOPHILLIPS|N2O|Upstream|14.779999999999998|5.0|16.0|10.0|CONOCOPHILLIPS
2016|CONOCOPHILLIPS|CH4|Midstream|30161.393000000004|5.0|16.0|10.0|CONOCOPHILLIPS
2016|CONOCOPHILLIPS|CH4|Upstream|617.5696|5.0|16.0|10.0|CONOCOPHILLIPS
2016|CONOCOPHILLIPS|CO2|Midstream|2119262.9280000003|5.0|16.0|10.0|CONOCOPHILLIPS
2016|CONOCOPHILLIPS|CO2|Upstream|7707.84|5.0|16.0|10.0|CONOCOPHILLIPS
2016|CONOCOPHILLIPS|N2O|Midstream|1080.641|5.0|16.0|10.0|CONOCOPHILLIPS
2015|CONOCOPHILLIPS|N2O|Midstream|1057.9920000000002|5.0|16.0|10.0|CONOCOPHILLIPS
2017|CONOCOPHILLIPS|CH4|Midstream|23352.539000000004|5.0|16.0|10.0|CONOCOPHILLIPS
2016|CONOCOPHILLIPS|N2O|Upstream|7.836799999999999|5.0|16.0|10.0|CONOCOPHILLIPS
2018|CONOCOPHILLIPS|CO2|Upstream|3986.9471999999996|5.0|16.0|10.0|CONOCOPHILLIPS
